"Table 24. Needing But Not Receiving Treatment at a Specialty Facility for Alcohol Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing treatment for an alcohol problem if they met the criteria for an alcohol use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
32,Montana,6.52%,5.51%,7.70%,2.60%,1.86%,3.63%,12.92%,10.76%,15.44%,5.91%,4.74%,7.35%,6.89%,5.81%,8.15%
33,Nebraska,5.91%,4.96%,7.02%,2.30%,1.68%,3.14%,10.62%,8.78%,12.80%,5.53%,4.39%,6.94%,6.30%,5.27%,7.52%
34,Nevada,5.00%,4.15%,6.00%,2.47%,1.78%,3.41%,10.67%,8.80%,12.88%,4.44%,3.48%,5.65%,5.25%,4.35%,6.34%
35,New Hampshire,5.83%,4.87%,6.96%,2.17%,1.57%,2.99%,10.62%,8.69%,12.90%,5.46%,4.36%,6.83%,6.16%,5.13%,7.38%
36,New Jersey,4.75%,4.02%,5.60%,2.17%,1.60%,2.93%,11.74%,9.95%,13.81%,4.00%,3.17%,5.05%,5.01%,4.23%,5.93%
37,New Mexico,6.23%,5.21%,7.44%,2.57%,1.84%,3.58%,11.78%,9.81%,14.08%,5.76%,4.56%,7.25%,6.62%,5.52%,7.93%
38,New York,5.60%,5.00%,6.27%,2.09%,1.64%,2.66%,10.38%,9.12%,11.80%,5.18%,4.48%,6.00%,5.93%,5.28%,6.65%
39,North Carolina,4.43%,3.78%,5.19%,1.67%,1.20%,2.33%,8.86%,7.44%,10.53%,4.04%,3.26%,5.00%,4.71%,4.01%,5.54%
40,North Dakota,7.09%,6.10%,8.23%,2.60%,1.90%,3.55%,12.11%,10.16%,14.37%,6.50%,5.32%,7.92%,7.50%,6.44%,8.72%
41,Ohio,5.52%,4.88%,6.24%,2.06%,1.59%,2.67%,9.97%,8.71%,11.40%,5.22%,4.46%,6.10%,5.88%,5.19%,6.66%
42,Oklahoma,5.04%,4.23%,5.98%,2.05%,1.48%,2.84%,9.37%,7.82%,11.19%,4.66%,3.70%,5.85%,5.36%,4.49%,6.39%
43,Oregon,6.70%,5.67%,7.90%,2.63%,1.93%,3.58%,10.82%,9.03%,12.91%,6.50%,5.28%,7.98%,7.07%,5.97%,8.37%
44,Pennsylvania,5.48%,4.84%,6.19%,2.03%,1.58%,2.61%,11.60%,10.13%,13.25%,4.89%,4.15%,5.76%,5.80%,5.11%,6.57%
45,Rhode Island,6.56%,5.54%,7.74%,2.22%,1.62%,3.03%,11.03%,9.11%,13.30%,6.20%,5.01%,7.65%,6.94%,5.85%,8.22%
46,South Carolina,5.22%,4.39%,6.19%,2.11%,1.55%,2.88%,9.88%,8.21%,11.85%,4.82%,3.86%,6.01%,5.52%,4.63%,6.57%
47,South Dakota,6.91%,5.86%,8.13%,2.44%,1.78%,3.34%,11.55%,9.58%,13.87%,6.66%,5.38%,8.21%,7.38%,6.24%,8.71%
48,Tennessee,4.67%,3.94%,5.53%,1.90%,1.35%,2.67%,9.47%,7.79%,11.46%,4.22%,3.37%,5.27%,4.95%,4.16%,5.88%
49,Texas,5.12%,4.59%,5.70%,2.31%,1.82%,2.94%,10.03%,8.85%,11.36%,4.62%,3.99%,5.35%,5.46%,4.88%,6.10%
50,Utah,4.48%,3.74%,5.35%,1.85%,1.28%,2.67%,9.06%,7.31%,11.19%,3.89%,3.02%,5.00%,4.85%,4.04%,5.81%
51,Vermont,6.08%,5.16%,7.14%,2.39%,1.73%,3.28%,13.13%,10.84%,15.81%,5.21%,4.19%,6.48%,6.39%,5.42%,7.53%
52,Virginia,5.67%,4.90%,6.55%,1.95%,1.46%,2.60%,10.79%,9.16%,12.68%,5.26%,4.36%,6.33%,6.04%,5.21%,6.99%
53,Washington,5.79%,4.84%,6.91%,2.06%,1.50%,2.84%,10.72%,8.93%,12.81%,5.43%,4.31%,6.82%,6.15%,5.13%,7.37%
54,West Virginia,4.34%,3.58%,5.24%,2.28%,1.64%,3.16%,10.04%,8.30%,12.11%,3.71%,2.85%,4.81%,4.52%,3.72%,5.48%
55,Wisconsin,6.68%,5.68%,7.86%,2.41%,1.77%,3.25%,12.29%,10.31%,14.59%,6.26%,5.06%,7.72%,7.12%,6.02%,8.39%
56,Wyoming,6.38%,5.38%,7.55%,2.61%,1.91%,3.57%,11.71%,9.71%,14.07%,5.94%,4.76%,7.39%,6.76%,5.68%,8.02%
