"Table 25. Needing But Not Receiving Treatment at a Specialty Facility for Substance Use in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: Respondents were classified as needing treatment for a substance use problem if they met the criteria for a substance use disorder as defined in the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV) or received treatment for illicit drug or alcohol use at a specialty facility (i.e., drug and alcohol rehabilitation facility [inpatient or outpatient], hospital [inpatient only], or mental health center). Illicit Drug Use includes the misuse of prescription psychotherapeutics or the use of marijuana, cocaine (including crack), heroin, hallucinogens, inhalants, or methamphetamine. Misuse of prescription psychotherapeutics is defined as use in any way not directed by a doctor, including use without a prescription of one's own; use in greater amounts, more often, or longer than told; or use in any other way not directed by a doctor. Prescription psychotherapeutics do not include over-the-counter drugs.",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
12,Connecticut,8.47%,7.12%,10.06%,5.17%,3.91%,6.81%,16.77%,13.98%,20.00%,7.51%,6.01%,9.35%,8.81%,7.35%,10.51%
13,Delaware,7.22%,6.08%,8.55%,4.29%,3.30%,5.57%,14.83%,12.47%,17.55%,6.37%,5.13%,7.89%,7.50%,6.28%,8.92%
14,District of Columbia,9.80%,8.44%,11.35%,4.61%,3.50%,6.05%,17.45%,14.74%,20.53%,8.57%,7.08%,10.34%,10.09%,8.67%,11.71%
15,Florida,6.71%,6.04%,7.45%,4.29%,3.61%,5.10%,13.90%,12.42%,15.52%,5.94%,5.19%,6.80%,6.93%,6.21%,7.72%
16,Georgia,5.93%,5.11%,6.88%,3.45%,2.71%,4.39%,11.53%,9.71%,13.65%,5.30%,4.38%,6.39%,6.22%,5.32%,7.24%
17,Hawaii,6.51%,5.49%,7.71%,4.47%,3.41%,5.83%,14.15%,11.80%,16.88%,5.60%,4.50%,6.96%,6.70%,5.61%,7.97%
18,Idaho,7.06%,5.99%,8.30%,4.79%,3.77%,6.09%,13.81%,11.54%,16.44%,6.25%,5.06%,7.69%,7.34%,6.18%,8.69%
19,Illinois,7.08%,6.30%,7.95%,4.53%,3.73%,5.50%,13.90%,12.20%,15.81%,6.27%,5.38%,7.29%,7.35%,6.50%,8.29%
20,Indiana,6.56%,5.57%,7.72%,4.06%,3.16%,5.20%,13.96%,11.58%,16.75%,5.58%,4.51%,6.88%,6.83%,5.76%,8.09%
21,Iowa,7.26%,6.14%,8.57%,4.34%,3.35%,5.60%,14.26%,11.82%,17.10%,6.36%,5.12%,7.87%,7.56%,6.36%,8.97%
22,Kansas,6.15%,5.19%,7.26%,4.31%,3.32%,5.59%,14.29%,11.89%,17.09%,4.91%,3.90%,6.17%,6.35%,5.33%,7.56%
23,Kentucky,6.69%,5.65%,7.92%,4.09%,3.16%,5.28%,13.69%,11.41%,16.35%,5.85%,4.71%,7.25%,6.96%,5.84%,8.27%
24,Louisiana,7.54%,6.37%,8.91%,4.32%,3.31%,5.62%,13.11%,10.85%,15.75%,7.00%,5.68%,8.59%,7.88%,6.63%,9.36%
25,Maine,7.18%,6.07%,8.47%,4.85%,3.76%,6.22%,15.12%,12.66%,17.96%,6.34%,5.12%,7.83%,7.38%,6.20%,8.77%
26,Maryland,7.38%,6.28%,8.67%,3.83%,2.95%,4.94%,15.68%,13.09%,18.66%,6.49%,5.28%,7.97%,7.74%,6.54%,9.13%
27,Massachusetts,8.78%,7.47%,10.30%,4.61%,3.54%,5.99%,18.04%,15.15%,21.35%,7.62%,6.20%,9.32%,9.16%,7.76%,10.78%
28,Michigan,7.33%,6.55%,8.18%,4.55%,3.76%,5.50%,14.35%,12.62%,16.29%,6.46%,5.58%,7.47%,7.61%,6.78%,8.54%
29,Minnesota,6.74%,5.70%,7.95%,4.31%,3.32%,5.59%,15.32%,12.85%,18.17%,5.66%,4.54%,7.03%,6.99%,5.88%,8.29%
30,Mississippi,5.94%,4.98%,7.06%,3.70%,2.83%,4.81%,11.63%,9.61%,14.01%,5.22%,4.16%,6.53%,6.18%,5.16%,7.40%
31,Missouri,7.02%,5.96%,8.26%,4.42%,3.45%,5.64%,14.68%,12.39%,17.32%,6.07%,4.92%,7.46%,7.29%,6.15%,8.62%
32,Montana,8.26%,7.09%,9.59%,5.56%,4.29%,7.16%,18.06%,15.31%,21.18%,6.95%,5.70%,8.46%,8.51%,7.27%,9.93%
33,Nebraska,7.00%,5.89%,8.30%,4.11%,3.14%,5.35%,14.84%,12.33%,17.76%,5.97%,4.75%,7.47%,7.31%,6.11%,8.73%
34,Nevada,6.95%,5.89%,8.20%,5.81%,4.52%,7.44%,13.23%,10.97%,15.88%,6.14%,4.96%,7.59%,7.07%,5.94%,8.40%
35,New Hampshire,7.63%,6.47%,8.99%,4.35%,3.38%,5.59%,16.64%,14.01%,19.66%,6.56%,5.30%,8.11%,7.93%,6.69%,9.39%
36,New Jersey,5.82%,4.99%,6.79%,3.75%,2.91%,4.83%,14.25%,12.11%,16.69%,4.80%,3.90%,5.91%,6.03%,5.13%,7.08%
37,New Mexico,8.35%,7.05%,9.87%,6.22%,4.83%,7.99%,15.78%,13.20%,18.77%,7.37%,5.92%,9.14%,8.58%,7.19%,10.21%
38,New York,7.13%,6.43%,7.90%,4.10%,3.39%,4.94%,14.75%,13.14%,16.53%,6.18%,5.40%,7.07%,7.41%,6.66%,8.23%
39,North Carolina,5.84%,5.03%,6.77%,3.80%,2.96%,4.87%,12.95%,11.04%,15.14%,4.94%,4.06%,5.99%,6.05%,5.19%,7.05%
40,North Dakota,8.12%,6.95%,9.47%,4.72%,3.67%,6.04%,15.30%,12.97%,17.95%,6.94%,5.65%,8.49%,8.43%,7.19%,9.87%
41,Ohio,7.18%,6.40%,8.05%,4.12%,3.37%,5.02%,15.04%,13.27%,17.00%,6.29%,5.42%,7.29%,7.50%,6.66%,8.44%
42,Oklahoma,6.25%,5.21%,7.48%,4.13%,3.15%,5.40%,12.71%,10.36%,15.49%,5.39%,4.27%,6.78%,6.48%,5.37%,7.81%
43,Oregon,9.31%,7.99%,10.82%,6.14%,4.80%,7.83%,16.83%,14.25%,19.78%,8.50%,7.02%,10.26%,9.60%,8.20%,11.22%
44,Pennsylvania,6.86%,6.09%,7.71%,3.47%,2.77%,4.33%,15.63%,13.84%,17.59%,5.85%,5.01%,6.83%,7.18%,6.36%,8.09%
45,Rhode Island,8.53%,7.26%,10.00%,5.68%,4.44%,7.25%,16.48%,13.80%,19.56%,7.39%,6.01%,9.04%,8.79%,7.44%,10.35%
46,South Carolina,7.21%,6.16%,8.43%,4.28%,3.36%,5.45%,15.08%,12.76%,17.74%,6.29%,5.13%,7.68%,7.50%,6.37%,8.81%
47,South Dakota,8.12%,6.91%,9.51%,5.03%,3.91%,6.46%,15.86%,13.36%,18.74%,7.15%,5.80%,8.79%,8.44%,7.15%,9.94%
48,Tennessee,6.20%,5.24%,7.34%,3.90%,2.99%,5.07%,12.93%,10.77%,15.44%,5.39%,4.34%,6.67%,6.44%,5.40%,7.66%
49,Texas,6.35%,5.74%,7.03%,4.30%,3.52%,5.23%,13.14%,11.68%,14.74%,5.41%,4.70%,6.21%,6.60%,5.94%,7.33%
50,Utah,5.57%,4.67%,6.65%,3.19%,2.35%,4.32%,11.59%,9.40%,14.21%,4.62%,3.65%,5.84%,5.91%,4.92%,7.09%
51,Vermont,8.31%,7.08%,9.73%,4.93%,3.81%,6.36%,20.66%,17.43%,24.32%,6.49%,5.21%,8.06%,8.60%,7.30%,10.11%
52,Virginia,7.02%,6.11%,8.05%,3.65%,2.85%,4.67%,14.28%,12.19%,16.66%,6.22%,5.21%,7.40%,7.35%,6.37%,8.46%
53,Washington,7.60%,6.41%,8.98%,4.99%,3.87%,6.40%,13.26%,11.11%,15.75%,6.99%,5.66%,8.60%,7.85%,6.58%,9.33%
54,West Virginia,5.91%,4.89%,7.13%,4.65%,3.59%,6.00%,13.62%,11.24%,16.41%,4.90%,3.81%,6.29%,6.02%,4.94%,7.33%
55,Wisconsin,8.26%,7.06%,9.64%,4.96%,3.90%,6.30%,17.46%,14.85%,20.42%,7.13%,5.81%,8.72%,8.60%,7.31%,10.09%
56,Wyoming,7.38%,6.29%,8.63%,5.19%,4.00%,6.72%,14.54%,12.18%,17.27%,6.45%,5.25%,7.90%,7.60%,6.44%,8.94%
