"Table 27. Any Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,
"NOTE: Any mental illness (AMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). For details, see Section B of the ""2015-2016 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
14,District of Columbia,18.82%,16.91%,20.89%,21.11%,18.22%,24.32%,18.35%,16.26%,20.64%
15,Florida,17.30%,16.09%,18.59%,20.57%,18.82%,22.44%,16.84%,15.51%,18.27%
16,Georgia,17.74%,16.15%,19.46%,18.88%,16.62%,21.37%,17.55%,15.78%,19.47%
17,Hawaii,15.55%,13.84%,17.44%,21.10%,18.26%,24.26%,14.74%,12.90%,16.79%
18,Idaho,21.62%,19.54%,23.85%,25.08%,21.94%,28.51%,21.03%,18.77%,23.49%
19,Illinois,15.73%,14.45%,17.09%,19.43%,17.45%,21.57%,15.12%,13.72%,16.63%
20,Indiana,19.95%,17.97%,22.08%,24.86%,21.78%,28.22%,19.08%,16.91%,21.46%
21,Iowa,17.72%,15.90%,19.70%,21.52%,18.72%,24.61%,17.04%,15.05%,19.23%
22,Kansas,18.17%,16.34%,20.15%,21.42%,18.46%,24.71%,17.58%,15.58%,19.78%
23,Kentucky,22.08%,19.91%,24.42%,21.20%,18.27%,24.46%,22.23%,19.83%,24.82%
24,Louisiana,17.31%,15.45%,19.33%,16.91%,14.34%,19.84%,17.38%,15.34%,19.61%
25,Maine,17.62%,15.73%,19.68%,21.87%,18.91%,25.14%,17.04%,15.01%,19.29%
26,Maryland,16.59%,14.89%,18.45%,21.77%,18.93%,24.91%,15.78%,13.95%,17.80%
27,Massachusetts,19.34%,17.38%,21.46%,24.09%,20.84%,27.68%,18.51%,16.41%,20.82%
28,Michigan,17.33%,16.06%,18.66%,21.87%,19.87%,24.01%,16.55%,15.14%,18.07%
29,Minnesota,18.24%,16.40%,20.22%,24.49%,21.41%,27.86%,17.24%,15.24%,19.43%
30,Mississippi,17.49%,15.57%,19.61%,17.19%,14.62%,20.11%,17.55%,15.42%,19.90%
31,Missouri,18.03%,16.06%,20.20%,19.43%,16.72%,22.45%,17.80%,15.63%,20.21%
32,Montana,20.57%,18.54%,22.77%,25.39%,22.30%,28.74%,19.79%,17.58%,22.20%
33,Nebraska,18.39%,16.44%,20.52%,22.75%,19.85%,25.94%,17.61%,15.46%,19.99%
34,Nevada,18.33%,16.38%,20.44%,22.05%,19.16%,25.25%,17.77%,15.66%,20.09%
35,New Hampshire,19.36%,17.38%,21.52%,26.10%,22.80%,29.70%,18.30%,16.17%,20.65%
36,New Jersey,15.50%,13.93%,17.20%,20.29%,17.80%,23.04%,14.78%,13.10%,16.63%
37,New Mexico,19.19%,17.18%,21.37%,23.51%,20.48%,26.84%,18.46%,16.23%,20.92%
38,New York,17.54%,16.33%,18.82%,22.32%,20.36%,24.41%,16.74%,15.41%,18.17%
39,North Carolina,18.98%,17.27%,20.82%,21.46%,19.04%,24.10%,18.58%,16.70%,20.62%
40,North Dakota,17.06%,15.26%,19.01%,21.25%,18.46%,24.34%,16.14%,14.19%,18.31%
41,Ohio,19.72%,18.35%,21.17%,24.18%,22.06%,26.43%,19.01%,17.47%,20.64%
42,Oklahoma,18.93%,16.90%,21.15%,21.43%,18.45%,24.74%,18.50%,16.28%,20.94%
43,Oregon,22.61%,20.54%,24.83%,28.37%,25.06%,31.92%,21.74%,19.49%,24.17%
44,Pennsylvania,18.76%,17.41%,20.20%,22.65%,20.61%,24.82%,18.16%,16.68%,19.73%
45,Rhode Island,19.23%,17.23%,21.39%,23.60%,20.49%,27.03%,18.43%,16.24%,20.83%
46,South Carolina,18.12%,16.30%,20.10%,21.43%,18.58%,24.60%,17.59%,15.59%,19.80%
47,South Dakota,17.83%,16.01%,19.80%,21.97%,19.04%,25.21%,17.11%,15.14%,19.27%
48,Tennessee,19.63%,17.66%,21.77%,21.79%,18.96%,24.91%,19.28%,17.13%,21.64%
49,Texas,16.04%,14.98%,17.15%,19.41%,17.62%,21.34%,15.42%,14.26%,16.66%
50,Utah,22.27%,20.31%,24.37%,25.20%,22.02%,28.66%,21.61%,19.43%,23.96%
51,Vermont,20.85%,18.68%,23.21%,28.30%,24.60%,32.32%,19.55%,17.21%,22.13%
52,Virginia,19.96%,18.27%,21.77%,23.98%,21.34%,26.83%,19.30%,17.46%,21.29%
53,Washington,20.72%,18.60%,23.02%,25.34%,22.18%,28.79%,19.99%,17.67%,22.54%
54,West Virginia,20.90%,18.64%,23.37%,21.96%,19.14%,25.07%,20.75%,18.26%,23.47%
55,Wisconsin,18.51%,16.71%,20.46%,24.00%,21.03%,27.24%,17.61%,15.64%,19.77%
56,Wyoming,19.46%,17.51%,21.58%,23.71%,20.74%,26.96%,18.76%,16.62%,21.10%
