"Table 3. Marijuana Use in the Past Month, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
12,Connecticut,9.36%,7.99%,10.92%,7.95%,6.26%,10.05%,26.94%,23.03%,31.25%,6.66%,5.26%,8.41%,9.50%,8.04%,11.18%
13,Delaware,8.88%,7.60%,10.35%,7.35%,5.82%,9.25%,23.29%,20.03%,26.90%,6.83%,5.50%,8.47%,9.03%,7.68%,10.59%
14,District of Columbia,14.08%,12.33%,16.03%,8.07%,6.40%,10.13%,32.39%,28.39%,36.67%,10.70%,8.87%,12.86%,14.41%,12.60%,16.44%
15,Florida,7.65%,6.93%,8.43%,7.03%,6.04%,8.17%,19.82%,18.04%,21.72%,6.00%,5.22%,6.89%,7.70%,6.95%,8.53%
16,Georgia,7.22%,6.24%,8.34%,6.40%,5.21%,7.84%,18.12%,15.67%,20.86%,5.45%,4.43%,6.68%,7.31%,6.27%,8.52%
17,Hawaii,8.18%,6.93%,9.65%,6.63%,5.21%,8.42%,18.66%,15.74%,21.98%,6.81%,5.47%,8.46%,8.32%,6.99%,9.89%
18,Idaho,6.93%,5.76%,8.31%,5.77%,4.51%,7.36%,14.70%,12.08%,17.77%,5.79%,4.55%,7.33%,7.07%,5.83%,8.55%
19,Illinois,7.90%,7.07%,8.83%,6.71%,5.69%,7.91%,20.87%,18.63%,23.32%,5.91%,5.01%,6.96%,8.03%,7.13%,9.03%
20,Indiana,8.75%,7.46%,10.23%,7.23%,5.78%,9.00%,19.60%,16.60%,22.99%,7.03%,5.66%,8.71%,8.91%,7.54%,10.51%
21,Iowa,5.47%,4.50%,6.64%,5.38%,4.17%,6.91%,13.25%,10.74%,16.23%,4.09%,3.13%,5.33%,5.48%,4.45%,6.73%
22,Kansas,6.91%,5.81%,8.22%,6.15%,4.87%,7.74%,15.73%,13.04%,18.86%,5.41%,4.29%,6.82%,7.00%,5.83%,8.39%
23,Kentucky,7.02%,5.92%,8.31%,6.13%,4.84%,7.74%,15.79%,13.11%,18.90%,5.69%,4.54%,7.10%,7.11%,5.94%,8.49%
24,Louisiana,6.82%,5.76%,8.06%,5.70%,4.47%,7.23%,17.46%,14.66%,20.65%,5.15%,4.06%,6.50%,6.94%,5.81%,8.26%
25,Maine,14.69%,12.82%,16.77%,9.70%,7.86%,11.91%,30.85%,26.92%,35.08%,13.00%,10.92%,15.40%,15.12%,13.14%,17.34%
26,Maryland,10.22%,8.86%,11.78%,7.78%,6.25%,9.63%,27.34%,23.70%,31.32%,7.83%,6.42%,9.51%,10.47%,9.01%,12.12%
27,Massachusetts,11.85%,10.32%,13.57%,8.68%,6.93%,10.82%,27.58%,23.81%,31.69%,9.45%,7.84%,11.35%,12.14%,10.52%,13.96%
28,Michigan,10.55%,9.59%,11.58%,7.98%,6.82%,9.31%,22.07%,19.95%,24.34%,8.89%,7.81%,10.12%,10.81%,9.78%,11.93%
29,Minnesota,7.32%,6.13%,8.73%,5.88%,4.61%,7.48%,17.42%,14.46%,20.85%,5.88%,4.66%,7.40%,7.47%,6.20%,8.98%
30,Mississippi,5.69%,4.68%,6.90%,4.95%,3.77%,6.46%,14.46%,11.86%,17.51%,4.23%,3.22%,5.53%,5.77%,4.71%,7.06%
31,Missouri,8.13%,6.90%,9.56%,6.23%,4.92%,7.86%,18.42%,15.47%,21.79%,6.65%,5.36%,8.23%,8.32%,7.01%,9.85%
32,Montana,12.02%,10.46%,13.79%,8.43%,6.82%,10.37%,23.89%,20.69%,27.41%,10.48%,8.72%,12.55%,12.36%,10.69%,14.25%
33,Nebraska,7.21%,6.00%,8.64%,5.74%,4.52%,7.25%,17.35%,14.44%,20.70%,5.58%,4.34%,7.15%,7.37%,6.08%,8.90%
34,Nevada,8.25%,6.94%,9.79%,8.65%,6.90%,10.80%,18.25%,15.13%,21.86%,6.71%,5.32%,8.42%,8.21%,6.83%,9.85%
35,New Hampshire,12.06%,10.51%,13.80%,8.06%,6.47%,9.98%,28.30%,24.48%,32.45%,9.93%,8.24%,11.92%,12.42%,10.77%,14.29%
36,New Jersey,6.77%,5.83%,7.85%,5.72%,4.54%,7.20%,20.55%,17.67%,23.78%,4.83%,3.87%,6.01%,6.87%,5.88%,8.02%
37,New Mexico,10.50%,9.06%,12.13%,9.46%,7.60%,11.71%,22.85%,19.40%,26.72%,8.55%,6.98%,10.43%,10.61%,9.08%,12.36%
38,New York,9.68%,8.87%,10.56%,7.28%,6.18%,8.55%,23.38%,21.34%,25.56%,7.65%,6.76%,8.65%,9.90%,9.04%,10.84%
39,North Carolina,7.72%,6.72%,8.85%,5.80%,4.63%,7.25%,19.92%,17.43%,22.68%,5.98%,4.92%,7.25%,7.92%,6.86%,9.12%
40,North Dakota,5.61%,4.64%,6.77%,5.63%,4.32%,7.31%,13.92%,11.41%,16.88%,3.80%,2.86%,5.03%,5.61%,4.59%,6.84%
41,Ohio,8.95%,8.09%,9.89%,6.41%,5.38%,7.63%,20.79%,18.59%,23.18%,7.35%,6.41%,8.43%,9.21%,8.29%,10.22%
42,Oklahoma,5.99%,4.90%,7.29%,5.20%,3.98%,6.78%,14.02%,11.39%,17.12%,4.68%,3.60%,6.07%,6.07%,4.93%,7.46%
43,Oregon,15.71%,13.96%,17.63%,9.77%,7.86%,12.09%,30.60%,26.95%,34.51%,14.07%,12.10%,16.31%,16.26%,14.38%,18.32%
44,Pennsylvania,8.20%,7.39%,9.10%,6.25%,5.29%,7.36%,20.04%,17.90%,22.37%,6.55%,5.66%,7.58%,8.38%,7.51%,9.34%
45,Rhode Island,15.21%,13.37%,17.25%,10.50%,8.43%,13.02%,32.00%,27.88%,36.42%,12.65%,10.63%,15.00%,15.63%,13.68%,17.81%
46,South Carolina,6.82%,5.72%,8.11%,6.40%,5.03%,8.13%,19.66%,16.51%,23.24%,4.81%,3.73%,6.17%,6.86%,5.70%,8.22%
47,South Dakota,7.60%,6.38%,9.04%,6.72%,5.30%,8.48%,17.09%,14.24%,20.37%,6.06%,4.79%,7.65%,7.70%,6.40%,9.23%
48,Tennessee,7.82%,6.60%,9.26%,6.16%,4.85%,7.79%,18.34%,15.47%,21.60%,6.32%,5.04%,7.89%,7.99%,6.69%,9.53%
49,Texas,5.91%,5.29%,6.61%,5.94%,4.98%,7.06%,14.58%,12.91%,16.44%,4.33%,3.66%,5.10%,5.91%,5.24%,6.66%
50,Utah,5.25%,4.28%,6.41%,4.32%,3.27%,5.69%,12.07%,9.63%,15.04%,3.86%,2.90%,5.11%,5.38%,4.34%,6.64%
51,Vermont,16.96%,14.98%,19.14%,9.44%,7.54%,11.77%,38.16%,33.26%,43.31%,14.00%,11.79%,16.54%,17.60%,15.48%,19.94%
52,Virginia,6.86%,5.95%,7.89%,5.35%,4.25%,6.70%,17.94%,15.44%,20.74%,5.22%,4.28%,6.35%,7.01%,6.05%,8.10%
53,Washington,12.02%,10.37%,13.89%,7.93%,6.35%,9.87%,23.30%,19.99%,26.97%,10.69%,8.85%,12.86%,12.41%,10.65%,14.42%
54,West Virginia,6.76%,5.60%,8.14%,5.94%,4.69%,7.49%,16.56%,13.71%,19.88%,5.39%,4.20%,6.89%,6.83%,5.61%,8.29%
55,Wisconsin,7.38%,6.17%,8.81%,6.96%,5.49%,8.80%,17.26%,14.42%,20.53%,5.80%,4.55%,7.36%,7.42%,6.15%,8.94%
56,Wyoming,6.27%,5.15%,7.61%,5.81%,4.51%,7.45%,15.00%,12.24%,18.26%,4.88%,3.72%,6.37%,6.31%,5.13%,7.75%
