"Table 26. Serious Mental Illness in the Past Year, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,
"NOTE: Serious mental illness (SMI) is defined as having a diagnosable mental, behavioral, or emotional disorder, other than a developmental or substance use disorder, assessed by the Mental Health Surveillance Study (MHSS) Structured Clinical Interview for the Diagnostic and Statistical Manual of Mental Disorders—Fourth Edition—Research Version—Axis I Disorders (MHSS-SCID), which is based on the 4th edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-IV). SMI includes individuals with diagnosis resulting in serious functional impairment. For details, see Section B of the ""2015-2016 NSDUH: Guide to State Tables and Summary of Small Area Estimation Methodology"" at https://www.samhsa.gov/data/.",,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,
Order,State,"18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)"
26,Maryland,3.41%,2.76%,4.19%,5.14%,4.00%,6.58%,3.14%,2.45%,4.00%
27,Massachusetts,4.32%,3.55%,5.25%,6.08%,4.71%,7.81%,4.02%,3.20%,5.02%
28,Michigan,4.44%,3.85%,5.12%,5.83%,4.86%,6.97%,4.21%,3.56%,4.97%
29,Minnesota,4.25%,3.48%,5.18%,5.96%,4.61%,7.67%,3.98%,3.17%,4.98%
30,Mississippi,3.92%,3.12%,4.90%,4.46%,3.38%,5.88%,3.82%,2.95%,4.92%
31,Missouri,4.17%,3.41%,5.08%,5.53%,4.28%,7.11%,3.94%,3.13%,4.96%
32,Montana,5.34%,4.39%,6.49%,6.99%,5.50%,8.84%,5.08%,4.05%,6.35%
33,Nebraska,4.17%,3.39%,5.12%,5.69%,4.41%,7.32%,3.90%,3.06%,4.94%
34,Nevada,4.21%,3.38%,5.24%,5.76%,4.45%,7.44%,3.98%,3.09%,5.12%
35,New Hampshire,5.07%,4.19%,6.12%,8.24%,6.46%,10.44%,4.57%,3.64%,5.73%
36,New Jersey,3.57%,2.91%,4.36%,5.36%,4.27%,6.72%,3.30%,2.59%,4.18%
37,New Mexico,4.43%,3.57%,5.49%,5.09%,3.87%,6.66%,4.32%,3.37%,5.51%
38,New York,4.08%,3.54%,4.69%,5.24%,4.39%,6.25%,3.88%,3.30%,4.57%
39,North Carolina,4.72%,3.92%,5.66%,4.42%,3.43%,5.68%,4.77%,3.88%,5.85%
40,North Dakota,4.03%,3.31%,4.91%,5.89%,4.61%,7.49%,3.63%,2.86%,4.59%
41,Ohio,5.13%,4.44%,5.92%,6.78%,5.64%,8.12%,4.87%,4.12%,5.74%
42,Oklahoma,4.60%,3.77%,5.59%,5.41%,4.19%,6.97%,4.45%,3.55%,5.58%
43,Oregon,5.19%,4.27%,6.30%,7.84%,6.16%,9.93%,4.79%,3.82%,5.99%
44,Pennsylvania,4.20%,3.60%,4.89%,5.57%,4.62%,6.71%,3.98%,3.33%,4.76%
45,Rhode Island,4.24%,3.42%,5.25%,5.71%,4.44%,7.32%,3.97%,3.08%,5.11%
46,South Carolina,3.98%,3.24%,4.88%,4.79%,3.64%,6.28%,3.85%,3.04%,4.86%
47,South Dakota,4.12%,3.37%,5.01%,5.61%,4.37%,7.17%,3.86%,3.05%,4.87%
48,Tennessee,4.98%,4.07%,6.07%,5.62%,4.38%,7.18%,4.87%,3.89%,6.10%
49,Texas,3.26%,2.80%,3.80%,4.80%,3.96%,5.80%,2.98%,2.49%,3.58%
50,Utah,5.20%,4.34%,6.21%,6.77%,5.31%,8.60%,4.84%,3.90%,5.99%
51,Vermont,5.32%,4.37%,6.47%,6.27%,4.84%,8.09%,5.16%,4.11%,6.45%
52,Virginia,4.60%,3.84%,5.50%,5.62%,4.53%,6.95%,4.43%,3.60%,5.45%
53,Washington,4.80%,3.89%,5.91%,5.95%,4.69%,7.50%,4.62%,3.63%,5.86%
54,West Virginia,5.18%,4.21%,6.37%,6.22%,4.90%,7.85%,5.03%,3.98%,6.34%
55,Wisconsin,4.24%,3.47%,5.16%,6.21%,4.85%,7.93%,3.91%,3.09%,4.94%
56,Wyoming,4.62%,3.80%,5.60%,6.73%,5.32%,8.48%,4.27%,3.39%,5.35%
