"Table 14. Perceptions of Great Risk from Having Five or More Drinks of an Alcoholic Beverage Once or Twice a Week, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
20,Indiana,41.98%,39.25%,44.76%,41.13%,37.55%,44.80%,33.51%,30.02%,37.18%,43.59%,40.29%,46.95%,42.07%,39.15%,45.06%
21,Iowa,35.16%,32.63%,37.77%,37.66%,34.13%,41.32%,27.88%,24.62%,31.40%,36.16%,33.17%,39.28%,34.90%,32.22%,37.68%
22,Kansas,37.33%,34.94%,39.79%,37.43%,33.90%,41.10%,31.99%,28.49%,35.70%,38.30%,35.42%,41.26%,37.32%,34.76%,39.96%
23,Kentucky,42.34%,39.84%,44.88%,42.20%,38.50%,45.99%,35.41%,31.75%,39.26%,43.50%,40.58%,46.46%,42.35%,39.70%,45.05%
24,Louisiana,44.48%,41.87%,47.11%,45.81%,42.17%,49.49%,39.49%,35.82%,43.29%,45.16%,42.10%,48.26%,44.33%,41.55%,47.15%
25,Maine,40.00%,37.37%,42.69%,37.08%,33.53%,40.78%,27.99%,24.58%,31.66%,41.90%,38.82%,45.05%,40.25%,37.47%,43.09%
26,Maryland,45.97%,43.44%,48.52%,46.90%,43.00%,50.84%,37.32%,33.63%,41.16%,47.22%,44.25%,50.21%,45.88%,43.19%,48.59%
27,Massachusetts,39.83%,37.26%,42.45%,40.28%,36.43%,44.25%,30.30%,26.64%,34.23%,41.44%,38.48%,44.46%,39.78%,37.10%,42.53%
28,Michigan,39.10%,37.37%,40.86%,39.67%,37.06%,42.33%,32.83%,30.43%,35.33%,40.11%,38.00%,42.25%,39.04%,37.17%,40.95%
29,Minnesota,38.00%,35.46%,40.60%,38.78%,35.15%,42.54%,29.94%,26.55%,33.57%,39.19%,36.20%,42.26%,37.91%,35.22%,40.69%
30,Mississippi,48.16%,45.45%,50.89%,48.42%,44.57%,52.28%,44.02%,40.28%,47.82%,48.88%,45.63%,52.13%,48.14%,45.24%,51.05%
31,Missouri,39.44%,36.79%,42.16%,40.47%,36.87%,44.18%,31.42%,27.93%,35.14%,40.65%,37.51%,43.88%,39.34%,36.52%,42.23%
32,Montana,34.46%,31.93%,37.08%,35.43%,31.94%,39.09%,25.86%,22.77%,29.20%,35.76%,32.76%,38.88%,34.37%,31.68%,37.17%
33,Nebraska,37.44%,34.93%,40.02%,37.63%,33.93%,41.47%,29.75%,26.16%,33.62%,38.81%,35.83%,41.87%,37.42%,34.75%,40.17%
34,Nevada,44.56%,41.66%,47.49%,40.83%,37.00%,44.77%,43.72%,39.49%,48.05%,45.12%,41.73%,48.55%,44.93%,41.84%,48.07%
35,New Hampshire,38.59%,35.99%,41.25%,37.95%,34.42%,41.60%,29.37%,25.93%,33.06%,40.11%,37.03%,43.26%,38.64%,35.88%,41.48%
36,New Jersey,47.81%,45.56%,50.07%,45.93%,42.67%,49.22%,35.69%,32.47%,39.05%,49.85%,47.20%,52.50%,48.00%,45.60%,50.42%
37,New Mexico,48.35%,45.66%,51.04%,44.67%,40.86%,48.54%,41.72%,37.87%,45.68%,49.92%,46.77%,53.08%,48.74%,45.90%,51.58%
38,New York,45.22%,43.61%,46.84%,43.72%,41.31%,46.15%,37.80%,35.47%,40.18%,46.62%,44.68%,48.57%,45.36%,43.62%,47.10%
39,North Carolina,46.38%,44.25%,48.51%,45.14%,41.95%,48.38%,38.25%,35.14%,41.46%,47.84%,45.31%,50.38%,46.50%,44.24%,48.78%
40,North Dakota,39.47%,36.95%,42.05%,39.77%,36.30%,43.35%,29.31%,25.91%,32.95%,41.67%,38.63%,44.77%,39.44%,36.76%,42.19%
41,Ohio,39.88%,38.19%,41.59%,40.30%,37.86%,42.78%,33.57%,31.13%,36.10%,40.84%,38.79%,42.93%,39.83%,38.01%,41.69%
42,Oklahoma,44.51%,41.86%,47.19%,43.47%,39.62%,47.39%,36.41%,32.68%,40.31%,46.06%,42.86%,49.30%,44.62%,41.77%,47.50%
43,Oregon,41.91%,39.39%,44.47%,39.42%,35.89%,43.07%,33.13%,29.68%,36.77%,43.51%,40.58%,46.50%,42.14%,39.46%,44.86%
44,Pennsylvania,39.32%,37.62%,41.04%,42.49%,39.89%,45.14%,31.71%,29.31%,34.21%,40.17%,38.13%,42.25%,39.02%,37.21%,40.86%
45,Rhode Island,40.97%,38.17%,43.83%,41.26%,37.48%,45.14%,34.38%,30.62%,38.36%,42.14%,38.83%,45.53%,40.94%,37.98%,43.97%
46,South Carolina,43.64%,41.03%,46.28%,42.31%,38.70%,46.00%,36.89%,33.26%,40.67%,44.87%,41.82%,47.96%,43.77%,41.00%,46.57%
47,South Dakota,37.37%,34.89%,39.92%,38.82%,35.25%,42.51%,27.04%,23.59%,30.79%,39.00%,36.07%,42.00%,37.22%,34.59%,39.93%
48,Tennessee,46.99%,44.25%,49.74%,47.71%,43.79%,51.66%,38.38%,34.84%,42.04%,48.30%,45.06%,51.56%,46.91%,43.99%,49.85%
49,Texas,48.57%,47.16%,49.98%,45.93%,43.50%,48.38%,41.75%,39.44%,44.10%,50.20%,48.46%,51.93%,48.88%,47.35%,50.42%
50,Utah,48.95%,46.39%,51.51%,51.32%,47.32%,55.30%,43.19%,38.90%,47.57%,49.86%,46.76%,52.95%,48.61%,45.86%,51.38%
51,Vermont,35.76%,33.05%,38.56%,34.64%,31.23%,38.21%,25.03%,21.48%,28.96%,37.75%,34.55%,41.06%,35.85%,32.99%,38.82%
52,Virginia,42.32%,40.21%,44.46%,42.74%,39.67%,45.87%,33.39%,30.34%,36.59%,43.74%,41.20%,46.31%,42.28%,40.02%,44.57%
53,Washington,40.94%,38.25%,43.68%,38.32%,34.66%,42.11%,35.26%,31.65%,39.05%,42.14%,38.97%,45.37%,41.19%,38.34%,44.11%
54,West Virginia,40.75%,37.92%,43.64%,37.44%,33.97%,41.03%,31.12%,27.65%,34.83%,42.51%,39.16%,45.93%,41.04%,38.03%,44.13%
55,Wisconsin,34.51%,31.98%,37.13%,35.67%,31.87%,39.66%,28.72%,25.51%,32.16%,35.33%,32.36%,38.42%,34.39%,31.73%,37.15%
56,Wyoming,41.92%,39.23%,44.65%,39.69%,35.88%,43.62%,35.21%,31.61%,38.99%,43.29%,40.14%,46.50%,42.14%,39.29%,45.05%
