"Table 4. Perceptions of Great Risk from Smoking Marijuana Once a Month, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
13,Delaware,26.54%,24.04%,29.20%,24.10%,20.94%,27.57%,12.77%,10.57%,15.34%,28.94%,25.97%,32.10%,26.77%,24.12%,29.59%
14,District of Columbia,16.97%,15.05%,19.08%,19.61%,16.68%,22.90%,9.84%,7.87%,12.23%,18.28%,16.04%,20.77%,16.81%,14.84%,18.99%
15,Florida,32.52%,31.00%,34.08%,26.58%,24.50%,28.76%,16.66%,15.02%,18.43%,35.37%,33.55%,37.23%,33.04%,31.41%,34.72%
16,Georgia,30.99%,28.93%,33.13%,31.44%,28.48%,34.55%,15.24%,13.06%,17.70%,33.68%,31.20%,36.25%,30.94%,28.75%,33.23%
17,Hawaii,29.55%,27.00%,32.24%,26.16%,22.68%,29.97%,14.69%,12.22%,17.55%,32.09%,29.07%,35.27%,29.85%,27.15%,32.71%
18,Idaho,27.92%,25.55%,30.42%,30.91%,27.52%,34.51%,15.74%,13.14%,18.76%,29.58%,26.73%,32.58%,27.56%,25.02%,30.25%
19,Illinois,28.63%,26.98%,30.35%,27.44%,25.13%,29.87%,14.11%,12.33%,16.09%,31.20%,29.20%,33.26%,28.76%,26.98%,30.61%
20,Indiana,25.39%,22.99%,27.94%,26.86%,23.54%,30.45%,12.60%,10.38%,15.21%,27.48%,24.62%,30.53%,25.23%,22.69%,27.94%
21,Iowa,27.22%,24.75%,29.83%,29.42%,26.08%,32.99%,15.37%,12.81%,18.32%,29.10%,26.16%,32.22%,26.99%,24.39%,29.76%
22,Kansas,26.17%,23.95%,28.51%,28.32%,24.99%,31.91%,14.09%,11.68%,16.91%,28.10%,25.43%,30.94%,25.93%,23.58%,28.43%
23,Kentucky,27.73%,25.32%,30.28%,29.05%,25.77%,32.56%,13.54%,11.24%,16.21%,29.94%,27.04%,33.00%,27.60%,25.02%,30.33%
24,Louisiana,31.80%,29.31%,34.40%,31.97%,28.49%,35.66%,17.75%,15.08%,20.78%,34.19%,31.23%,37.29%,31.78%,29.14%,34.55%
25,Maine,19.65%,17.41%,22.11%,20.37%,17.44%,23.64%,7.86%,6.11%,10.04%,21.19%,18.57%,24.07%,19.59%,17.22%,22.19%
26,Maryland,25.89%,23.54%,28.40%,26.24%,22.86%,29.94%,11.60%,9.48%,14.12%,28.11%,25.37%,31.02%,25.86%,23.39%,28.49%
27,Massachusetts,22.14%,19.94%,24.50%,23.37%,20.12%,26.97%,11.56%,9.41%,14.12%,23.86%,21.29%,26.64%,22.02%,19.73%,24.50%
28,Michigan,23.43%,21.88%,25.05%,23.21%,21.01%,25.58%,11.53%,10.06%,13.18%,25.50%,23.63%,27.47%,23.45%,21.79%,25.19%
29,Minnesota,20.47%,18.35%,22.77%,23.99%,20.82%,27.48%,10.28%,8.31%,12.66%,21.70%,19.22%,24.41%,20.11%,17.89%,22.53%
30,Mississippi,38.26%,35.56%,41.04%,36.16%,32.35%,40.16%,23.48%,20.06%,27.28%,41.19%,37.96%,44.50%,38.50%,35.62%,41.46%
31,Missouri,27.38%,24.97%,29.92%,29.41%,25.90%,33.18%,11.67%,9.57%,14.15%,29.76%,26.88%,32.80%,27.17%,24.63%,29.86%
32,Montana,20.98%,18.83%,23.31%,21.98%,19.03%,25.25%,10.28%,8.41%,12.51%,22.64%,20.09%,25.40%,20.89%,18.63%,23.35%
33,Nebraska,26.16%,23.80%,28.66%,28.21%,24.83%,31.87%,13.51%,11.19%,16.22%,28.19%,25.35%,31.21%,25.93%,23.43%,28.60%
34,Nevada,25.83%,23.25%,28.60%,20.83%,17.86%,24.15%,14.78%,12.12%,17.91%,28.10%,25.06%,31.35%,26.34%,23.60%,29.28%
35,New Hampshire,18.78%,16.68%,21.08%,23.74%,20.56%,27.25%,7.79%,6.10%,9.90%,20.01%,17.55%,22.71%,18.33%,16.13%,20.75%
36,New Jersey,32.12%,29.85%,34.49%,30.66%,27.63%,33.87%,14.16%,12.04%,16.59%,35.00%,32.24%,37.86%,32.27%,29.82%,34.82%
37,New Mexico,28.65%,26.13%,31.30%,24.06%,20.84%,27.61%,14.34%,11.78%,17.35%,31.65%,28.63%,34.82%,29.14%,26.45%,31.97%
38,New York,28.51%,27.02%,30.05%,27.79%,25.71%,29.97%,14.43%,12.83%,16.19%,30.97%,29.17%,32.82%,28.58%,26.99%,30.22%
39,North Carolina,31.72%,29.69%,33.81%,29.52%,26.46%,32.78%,16.64%,14.37%,19.19%,34.44%,32.01%,36.95%,31.94%,29.78%,34.19%
40,North Dakota,27.01%,24.56%,29.61%,30.91%,27.14%,34.94%,13.52%,11.13%,16.32%,29.54%,26.56%,32.71%,26.65%,24.09%,29.38%
41,Ohio,25.67%,24.15%,27.25%,26.15%,23.95%,28.48%,11.52%,9.97%,13.28%,27.90%,26.05%,29.84%,25.62%,23.98%,27.33%
42,Oklahoma,29.64%,27.15%,32.26%,25.48%,22.36%,28.86%,16.37%,13.63%,19.53%,32.53%,29.52%,35.69%,30.10%,27.43%,32.91%
43,Oregon,18.61%,16.56%,20.85%,20.25%,17.29%,23.56%,9.17%,7.39%,11.33%,19.89%,17.51%,22.50%,18.45%,16.32%,20.80%
44,Pennsylvania,24.78%,23.22%,26.42%,26.68%,24.34%,29.17%,10.88%,9.37%,12.61%,26.78%,24.91%,28.73%,24.60%,22.94%,26.35%
45,Rhode Island,20.84%,18.48%,23.42%,21.72%,18.54%,25.28%,9.75%,7.73%,12.24%,22.79%,19.99%,25.85%,20.76%,18.28%,23.47%
46,South Carolina,31.67%,29.21%,34.23%,29.80%,26.37%,33.47%,15.29%,12.78%,18.19%,34.53%,31.62%,37.55%,31.85%,29.25%,34.57%
47,South Dakota,27.20%,24.78%,29.76%,29.37%,25.93%,33.05%,14.01%,11.60%,16.82%,29.25%,26.35%,32.33%,26.98%,24.41%,29.70%
48,Tennessee,30.23%,27.74%,32.84%,29.47%,25.90%,33.31%,16.45%,13.97%,19.27%,32.57%,29.60%,35.69%,30.30%,27.66%,33.08%
49,Texas,36.51%,35.11%,37.92%,32.04%,29.78%,34.39%,19.43%,17.60%,21.40%,40.29%,38.58%,42.04%,37.05%,35.54%,38.58%
50,Utah,32.85%,30.52%,35.26%,40.35%,36.32%,44.52%,19.18%,16.06%,22.74%,34.69%,31.83%,37.66%,31.79%,29.33%,34.36%
51,Vermont,18.23%,16.02%,20.66%,20.62%,17.75%,23.82%,7.70%,5.92%,9.95%,19.85%,17.23%,22.76%,18.02%,15.71%,20.59%
52,Virginia,27.73%,25.70%,29.85%,26.30%,23.53%,29.28%,13.58%,11.51%,15.95%,30.23%,27.79%,32.78%,27.87%,25.70%,30.14%
53,Washington,18.92%,16.71%,21.36%,18.40%,15.64%,21.51%,11.00%,8.87%,13.58%,20.26%,17.67%,23.12%,18.97%,16.65%,21.54%
54,West Virginia,28.01%,25.46%,30.71%,25.16%,21.98%,28.64%,13.08%,10.83%,15.71%,30.52%,27.51%,33.72%,28.26%,25.55%,31.14%
55,Wisconsin,23.52%,21.18%,26.04%,24.93%,21.65%,28.52%,12.16%,10.06%,14.62%,25.26%,22.50%,28.23%,23.38%,20.92%,26.03%
56,Wyoming,26.96%,24.48%,29.60%,26.74%,23.18%,30.64%,15.61%,12.95%,18.69%,28.89%,25.93%,32.04%,26.99%,24.35%,29.79%
