"Table 10. Perceptions of Great Risk from Trying Heroin Once or Twice, by Age Group and State: Percentages, Annual Averages Based on 2015 and 2016 NSDUHs  ",,,,,,,,,,,,,,,,
"NOTE: State and census region estimates, along with the 95 percent Bayesian confidence (credible) intervals, are based on a survey-weighted hierarchical Bayes estimation approach and generated by Markov Chain Monte Carlo techniques. For the ""Total U.S."" row, design-based (direct) estimates and corresponding 95 percent confidence intervals are given.",,,,,,,,,,,,,,,,
"NOTE: The column labeled ""Order"" can be used to sort the data to the original sort order.",,,,,,,,,,,,,,,,
"Source: SAMHSA, Center for Behavioral Health Statistics and Quality, National Survey on Drug Use and Health, 2015 and 2016.",,,,,,,,,,,,,,,,
Order,State,"12 or Older Estimate","12 or Older 95% CI (Lower)","12 or Older 95% CI (Upper)","12-17 Estimate","12-17 95% CI (Lower)","12-17 95% CI (Upper)","18-25 Estimate","18-25 95% CI (Lower)","18-25 95% CI (Upper)","26 or Older Estimate","26 or Older 95% CI (Lower)","26 or Older 95% CI (Upper)","18 or Older Estimate","18 or Older 95% CI (Lower)","18 or Older 95% CI (Upper)"
11,Colorado,82.56%,80.66%,84.31%,61.33%,57.52%,65.00%,79.79%,76.41%,82.79%,85.50%,83.25%,87.50%,84.68%,82.64%,86.52%
12,Connecticut,85.01%,83.13%,86.72%,65.55%,61.76%,69.15%,81.40%,78.30%,84.14%,87.85%,85.64%,89.75%,86.94%,84.93%,88.71%
13,Delaware,86.20%,84.54%,87.72%,63.66%,59.87%,67.28%,82.93%,79.97%,85.53%,89.14%,87.17%,90.83%,88.31%,86.52%,89.89%
14,District of Columbia,83.38%,81.37%,85.21%,64.21%,60.29%,67.94%,79.76%,76.31%,82.83%,85.40%,83.10%,87.43%,84.43%,82.34%,86.31%
15,Florida,87.67%,86.70%,88.58%,67.97%,65.80%,70.07%,84.27%,82.61%,85.79%,90.09%,88.95%,91.12%,89.37%,88.34%,90.32%
16,Georgia,87.18%,85.86%,88.39%,69.98%,66.98%,72.82%,84.97%,82.54%,87.12%,89.81%,88.23%,91.19%,89.09%,87.67%,90.37%
17,Hawaii,82.32%,80.25%,84.23%,63.33%,59.43%,67.07%,82.05%,78.97%,84.76%,84.31%,81.86%,86.48%,84.02%,81.81%,86.00%
18,Idaho,83.74%,81.93%,85.39%,65.62%,62.01%,69.05%,79.03%,75.61%,82.10%,87.07%,84.95%,88.93%,85.90%,83.95%,87.65%
19,Illinois,85.91%,84.78%,86.97%,63.19%,60.67%,65.64%,82.62%,80.55%,84.52%,89.19%,87.85%,90.40%,88.26%,87.04%,89.38%
20,Indiana,85.78%,84.13%,87.28%,65.74%,62.18%,69.13%,83.26%,80.39%,85.79%,88.75%,86.79%,90.45%,87.93%,86.16%,89.50%
21,Iowa,83.31%,81.50%,84.97%,65.07%,61.56%,68.43%,79.54%,76.25%,82.47%,86.16%,84.00%,88.07%,85.15%,83.19%,86.92%
22,Kansas,84.95%,83.36%,86.42%,64.05%,60.63%,67.33%,82.72%,79.69%,85.37%,88.08%,86.21%,89.73%,87.25%,85.53%,88.79%
23,Kentucky,87.02%,85.45%,88.45%,66.83%,63.36%,70.12%,84.58%,81.71%,87.08%,89.79%,87.96%,91.36%,89.05%,87.37%,90.53%
24,Louisiana,86.42%,84.88%,87.81%,64.84%,61.22%,68.29%,82.65%,79.59%,85.34%,89.71%,87.95%,91.23%,88.68%,87.04%,90.12%
25,Maine,85.39%,83.59%,87.02%,63.65%,60.07%,67.09%,82.39%,79.31%,85.10%,87.89%,85.77%,89.73%,87.23%,85.31%,88.94%
26,Maryland,85.70%,84.11%,87.16%,65.98%,62.30%,69.48%,83.02%,80.11%,85.58%,88.35%,86.51%,89.97%,87.63%,85.94%,89.14%
27,Massachusetts,84.98%,83.16%,86.63%,67.09%,63.35%,70.63%,80.68%,77.38%,83.60%,87.60%,85.48%,89.46%,86.57%,84.63%,88.30%
28,Michigan,85.47%,84.36%,86.51%,63.62%,61.08%,66.09%,81.46%,79.39%,83.37%,88.73%,87.42%,89.92%,87.67%,86.50%,88.76%
29,Minnesota,80.45%,78.34%,82.40%,60.79%,56.94%,64.50%,76.96%,73.37%,80.19%,83.31%,80.82%,85.54%,82.43%,80.15%,84.51%
30,Mississippi,87.84%,86.31%,89.21%,67.81%,64.29%,71.14%,85.30%,82.62%,87.63%,90.86%,89.08%,92.38%,90.02%,88.40%,91.44%
31,Missouri,86.94%,85.33%,88.39%,69.95%,66.49%,73.19%,85.26%,82.56%,87.60%,89.20%,87.28%,90.87%,88.64%,86.90%,90.17%
32,Montana,84.30%,82.58%,85.88%,63.05%,59.36%,66.59%,78.99%,75.81%,81.86%,87.45%,85.45%,89.21%,86.26%,84.43%,87.91%
33,Nebraska,84.75%,82.99%,86.35%,63.76%,60.11%,67.26%,81.49%,78.36%,84.27%,87.99%,85.91%,89.81%,87.00%,85.12%,88.68%
34,Nevada,84.12%,82.06%,85.99%,62.43%,58.73%,65.99%,83.00%,79.97%,85.65%,86.79%,84.36%,88.90%,86.29%,84.07%,88.25%
35,New Hampshire,85.80%,84.13%,87.32%,66.23%,62.76%,69.54%,81.18%,78.02%,83.98%,88.56%,86.58%,90.28%,87.56%,85.76%,89.16%
36,New Jersey,85.47%,83.93%,86.88%,67.23%,64.12%,70.19%,82.87%,80.35%,85.14%,87.94%,86.14%,89.54%,87.28%,85.63%,88.76%
37,New Mexico,83.81%,81.89%,85.55%,65.68%,62.11%,69.09%,82.68%,79.62%,85.37%,86.23%,83.92%,88.25%,85.71%,83.64%,87.56%
38,New York,84.26%,83.13%,85.34%,65.65%,63.28%,67.95%,82.78%,80.95%,84.47%,86.48%,85.12%,87.74%,85.95%,84.74%,87.08%
39,North Carolina,85.78%,84.42%,87.04%,64.60%,61.56%,67.54%,81.57%,78.97%,83.91%,88.96%,87.34%,90.40%,87.93%,86.45%,89.28%
40,North Dakota,84.60%,82.91%,86.16%,66.94%,63.58%,70.14%,78.89%,75.66%,81.80%,87.78%,85.79%,89.53%,86.18%,84.38%,87.81%
41,Ohio,87.85%,86.83%,88.80%,70.60%,68.19%,72.90%,85.69%,83.78%,87.41%,90.22%,89.00%,91.33%,89.59%,88.49%,90.60%
42,Oklahoma,85.34%,83.55%,86.97%,64.30%,60.69%,67.75%,82.60%,79.52%,85.30%,88.49%,86.35%,90.34%,87.61%,85.67%,89.32%
43,Oregon,81.59%,79.63%,83.40%,61.95%,58.20%,65.57%,80.79%,77.62%,83.61%,83.77%,81.42%,85.87%,83.37%,81.26%,85.28%
44,Pennsylvania,86.14%,84.98%,87.23%,65.75%,63.23%,68.18%,84.56%,82.58%,86.36%,88.56%,87.18%,89.82%,88.02%,86.77%,89.16%
45,Rhode Island,85.35%,83.51%,87.01%,64.05%,60.32%,67.63%,82.91%,79.73%,85.67%,88.01%,85.82%,89.90%,87.22%,85.23%,88.97%
46,South Carolina,88.00%,86.55%,89.31%,66.76%,63.15%,70.18%,83.88%,80.91%,86.47%,91.05%,89.41%,92.45%,90.05%,88.53%,91.39%
47,South Dakota,83.09%,81.34%,84.71%,60.32%,56.71%,63.83%,78.71%,75.38%,81.71%,86.61%,84.53%,88.45%,85.44%,83.56%,87.14%
48,Tennessee,86.25%,84.62%,87.74%,66.58%,62.88%,70.09%,83.66%,80.83%,86.14%,88.96%,87.07%,90.60%,88.21%,86.47%,89.76%
49,Texas,86.48%,85.56%,87.36%,66.91%,64.66%,69.07%,83.74%,81.93%,85.41%,89.73%,88.65%,90.73%,88.80%,87.83%,89.71%
50,Utah,84.65%,83.04%,86.14%,65.94%,62.40%,69.31%,84.00%,81.09%,86.54%,88.01%,86.10%,89.69%,87.26%,85.51%,88.83%
51,Vermont,84.14%,82.20%,85.91%,64.73%,61.19%,68.12%,79.18%,75.42%,82.49%,86.93%,84.66%,88.90%,85.77%,83.68%,87.63%
52,Virginia,85.55%,84.13%,86.86%,64.44%,61.39%,67.38%,82.75%,80.21%,85.02%,88.40%,86.69%,89.92%,87.61%,86.07%,88.99%
53,Washington,81.43%,79.40%,83.31%,59.79%,55.99%,63.48%,79.55%,76.34%,82.42%,84.12%,81.70%,86.28%,83.49%,81.31%,85.47%
54,West Virginia,88.64%,87.08%,90.04%,67.96%,64.42%,71.30%,84.79%,81.91%,87.29%,91.30%,89.51%,92.80%,90.46%,88.80%,91.89%
55,Wisconsin,85.41%,83.75%,86.93%,63.49%,59.87%,66.96%,82.07%,79.10%,84.70%,88.51%,86.57%,90.20%,87.59%,85.82%,89.17%
56,Wyoming,85.08%,83.35%,86.65%,62.68%,58.79%,66.40%,81.96%,78.76%,84.77%,88.20%,86.20%,89.94%,87.31%,85.45%,88.96%
